english,hebrew
highway,כביש מהיר
hill,גִבעָה
him,אוֹתוֹ
himself,עַצמוֹ
hip,ירך
hire,לִשְׂכּוֹר
his,שֶׁלוֹ
historian,הִיסטוֹרִיוֹן
historic,הִיסטוֹרִי
historical,הִיסטוֹרִי
history,הִיסטוֹרִיָה
hit,מכה
hold,לְהַחזִיק
hole,חור
holiday,חַג
holy,קָדוֹשׁ
home,בית
homeless,חֲסַר בַּיִת
honest,יָשָׁר
honey,דבש
honor,כָּבוֹד
hope,לְקַווֹת
horizon,אופק
horror,חֲרָדָה
horse,סוּס
hospital,בית חולים
host,מנחה
hot,חַם
hotel,מלון
hour,שָׁעָה
house,בַּיִת
household,בית
housing,דיור
how,אֵיך
however,למרות זאת
huge,עָצוּם
human,בן אנוש
humor,הוּמוֹר
hundred,מֵאָה
hungry,רעב
hunter,צַיָד
hunting,ציד
hurt,כאב
husband,בַּעַל
hypothesis,הַשׁעָרָה
I,אני
ice,קרח
idea,רַעְיוֹן
ideal,אִידֵאָלִי
identification,זיהוי
identify,לזהות
identity,זהות
ie,כְּלוֹמַר
if,אם
ignore,להתעלם
ill,חולה
illegal,בִּלתִי חוּקִי
illness,מחלה
illustrate,להמחיש
image,תמונה
imagination,דִמיוֹן
imagine,לדמיין
immediate,מִיָדִי
immediately,מיד
immigrant,מְהַגֵר
immigration,עלייה
impact,פְּגִיעָה
implement,ליישם
implication,מַשְׁמָעוּת
imply,לִרְמוֹז
importance,חֲשִׁיבוּת
important,חָשׁוּב
impose,לֶאֱכוֹף
impossible,בלתי אפשרי
impress,לְהַרְשִׁים
impression,רוֹשֶׁם
impressive,מרשימים
improve,לְשַׁפֵּר
improvement,הַשׁבָּחָה
in,ב
incentive,תַמרִיץ
incident,תַקרִית
include,לִכלוֹל
including,לְרַבּוֹת
income,הַכנָסָה
incorporate,"בע""מ"
increase,להגביר
increased,מוּגדָל
increasing,גָדֵל
increasingly,יותר ויותר
incredible,מדהים
indeed,אכן
independence,עצמאות
independent,עצמאי
index,אינדקס
Indian,הוֹדִי
indicate,מצביע
indication,סִימָן
individual,אִישִׁי
industrial,תַעֲשִׂיָתִי
industry,תַעֲשִׂיָה
infant,תִינוֹק
infection,הַדבָּקָה
inflation,אִינפלַצִיָה
influence,לְהַשְׁפִּיעַ
inform,לדווח
information,מֵידָע
ingredient,מַרכִּיב
initial,התחלתי
initially,בהתחלה
initiative,יוזמה
injury,פציעה
inner,פְּנִימִי
innocent,תמים
inquiry,חֲקִירָה
inside,בְּתוֹך
insight,תוֹבָנָה
insist,מתעקש
inspire,השראה
install,להתקין
instance,למשל
instead,במקום זאת
institution,מוֹסָד
institutional,מוסדי
instruction,הוראה
instructor,מַדְרִיך
instrument,כלי
insurance,ביטוח
intellectual,אִינטֶלֶקְטוּאַלִי
intelligence,אינטליגנציה
intend,כוונה
intense,אִינטֶנסִיבִי
intensity,עָצמָה
intention,מַטָרָה
interaction,אינטראקציה
interest,ריבית
interested,מעוניין
interesting,מעניין
internal,פְּנִימִי
international,בינלאומי
Internet,מרשתת
interpret,לפרש
interpretation,פרשנות
intervention,התערבות
interview,רֵאָיוֹן
into,לְתוֹך
introduce,הצג
introduction,מבוא
invasion,פְּלִישָׁה
invest,להשקיע
investigate,לַחקוֹר
investigation,חֲקִירָה
investigator,חוֹקֵר
investment,הַשׁקָעָה
investor,משקיע
invite,להזמין
involve,כרוך
involved,מְעוּרָב
involvement,מְעוֹרָבוּת
Iraqi,עִירַאקִי
Irish,אִירִית
iron,בַּרזֶל
Islamic,אסלאמי
island,אִי
Israeli,יִשׂרְאֵלִי
issue,נושא
it,זה
Italian,אִיטַלְקִית
item,פריט
its,שֶׁלָה
itself,עצמו
jacket,ז'ָקֵט
jail,כלא
Japanese,יַפָּנִית
jet,מטוס סילון
Jew,יְהוּדִי
Jewish,יהודי
job,עבודה
join,לְהִצְטַרֵף
joint,משותף
joke,בדיחה
journal,כתב עת
journalist,עִתוֹנָאִי
journey,מסע
joy,שִׂמְחָה
judge,לִשְׁפּוֹט
judgment,פְּסַק דִין
juice,מיץ
jump,קְפִיצָה
junior,זוּטָר
jury,חֶבֶר מוּשׁבַּעִים
just,רַק
justice,צֶדֶק
justify,לְהַצְדִיק
keep,לִשְׁמוֹר
key,מַפְתֵחַ
kick,בְּעִיטָה
kid,יֶלֶד
kill,לַהֲרוֹג
killer,רוֹצֵחַ
killing,הֶרֶג
kind,סוג
king,מלך
kiss,נְשִׁיקָה
kitchen,מִטְבָּח
knee,הברך
knife,סַכִּין
knock,נְקִישָׁה
know,לָדַעַת
knowledge,יֶדַע
lab,מַעבָּדָה
label,תווית
labor,עבודה
laboratory,מַעבָּדָה
lack,חוֹסֶר
lady,גברת
lake,אֲגַם
land,ארץ
landscape,נוֹף
language,שפה
lap,הקפה
large,גָדוֹל
largely,בעיקר
last,אחרון
late,מאוחר
later,מאוחר יותר
Latin,לָטִינִית
latter,אַחֲרוֹן
laugh,לִצְחוֹק
launch,לְהַשִׁיק
law,חוֹק
lawn,דֶשֶׁא
lawsuit,תביעה משפטית
lawyer,עורך דין
lay,לְהַנִיחַ
layer,שִׁכבָה
lead,עוֹפֶרֶת
leader,מַנהִיג
leadership,מַנהִיגוּת
leading,מוֹבִיל
leaf,עלה
league,לִיגָה
lean,רָזֶה
learn,לִלמוֹד
learning,לְמִידָה
least,הכי פחות
leather,עוֹר
leave,לעזוב
left,שמאלה
leg,רגל
legacy,מוֹרֶשֶׁת
legal,משפטי
legend,אגדה
legislation,חֲקִיקָה
legitimate,לֵגִיטִימִי
lemon,לימון
length,אורך
less,פָּחוּת
lesson,שיעור
let,תן
letter,מִכְתָב
level,רָמָה
liberal,לִיבֵּרָלִי
library,סִפְרִיָה
license,רישיון
lie,שקר
life,חַיִים
lifestyle,סגנון חיים
lifetime,לכל החיים
lift,מעלית
light,אוֹר
like,כמו
likely,סָבִיר
limit,לְהַגבִּיל
limitation,הַגבָּלָה
limited,מוגבל
line,קַו
link,קישור
lip,שָׂפָה
list,רשימה
listen,להקשיב
literally,פשוטו כמשמעו
literary,סִפְרוּתִי
literature,סִפְרוּת
little,קטן
live,לחיות
living,חַי
load,לִטעוֹן
loan,לְהַלווֹת
local,מְקוֹמִי
locate,לְאַתֵר
location,מקום
lock,לנעול
long,ארוך
long-term,טווח ארוך
look,תראה
loose,מְשׁוּחרָר
lose,לאבד
loss,הֶפסֵד
lost,אָבֵד
lot,מִגרָשׁ
lots,הרבה
loud,בְּקוֹל רָם
love,אהבה
lovely,חביב
lover,מְאַהֵב
low,נָמוּך
lower,נמוך יותר
luck,מַזָל
lucky,בַּר מַזָל
lunch,ארוחת צהריים
lung,ריאה
machine,מְכוֹנָה
mad,מְטוּרָף
magazine,מגזין
mail,דוֹאַר
main,רָאשִׁי
mainly,בעיקר
maintain,לְתַחְזֵק
maintenance,תחזוקה
major,גדול
majority,רוֹב
make,עשה
maker,יַצרָן
makeup,תפצה
male,זָכָר
mall,קֶנִיוֹן
man,איש
manage,לנהל
management,הַנהָלָה
manager,מנהל
manner,דֶרֶך
manufacturer,יַצרָן
manufacturing,ייצור
many,רב
map,מַפָּה
margin,שולים
mark,סימן
market,שׁוּק
marketing,שיווק
marriage,נישואים
married,נָשׂוּי
marry,לְהִתְחַתֵן
mask,מסכה
mass,מסה
massive,מַסִיבִי
master,לִשְׁלוֹט
match,התאמה
material,חוֹמֶר
math,מתמטיקה
matter,חוֹמֶר
may,מאי
maybe,אולי
mayor,ראש העיר
me,לִי
meal,ארוחה
mean,מתכוון
meaning,מַשְׁמָעוּת
meanwhile,בינתיים
measure,מידה
measurement,מדידה
meat,בָּשָׂר
mechanism,מַנגָנוֹן
media,כְּלֵי תִקְשׁוֹרֶת
medical,רְפוּאִי
medication,תרופות
medicine,תרופה
medium,בינוני
meet,לִפְגוֹשׁ
meeting,פְּגִישָׁה
member,חבר
membership,חֲבֵרוּת
memory,זיכרון
mental,נַפשִׁי
mention,אִזְכּוּר
menu,תַפרִיט
mere,סְתָם
merely,רק
mess,אי סדר
message,הוֹדָעָה
metal,מַתֶכֶת
meter,מטר
method,שיטה
Mexican,מֶקסִיקָני
middle,אֶמצַע
might,אולי
military,צבאי
milk,חלב
million,מִילִיוֹן
mind,אכפת
mine,שלי
minister,שר בממשלה
minor,קַטִין
minority,מיעוט
minute,דַקָה
miracle,נֵס
mirror,מַרְאָה
miss,עלמה
missile,טִיל
mission,משימה
mistake,טעות
mix,לְעַרְבֵּב
mixture,תַעֲרוֹבֶת
mm-hmm,"מ""מ-ממץ"
mode,מצב
model,דֶגֶם
moderate,לְמַתֵן
modern,מוֹדֶרנִי
modest,צָנוּעַ
mom,אִמָא
moment,רֶגַע
money,כֶּסֶף
monitor,צג
month,חוֹדֶשׁ
mood,מַצַב רוּחַ
moon,ירח
moral,מוסר השכל
more,יותר
moreover,יתר על כך
morning,בוקר
mortgage,משכנתא
most,רוב
mostly,בעיקר
mother,אִמָא
motion,תְנוּעָה
motivation,מוֹטִיבָצִיָה
motor,מָנוֹעַ
mount,הר
mountain,הַר
mouse,עכבר
mouth,פֶּה
move,מהלך \ לזוז \ לעבור
movement,תְנוּעָה
movie,סרט
Mr,אדון
Mrs,גברת
Ms,גברת
much,הַרבֵּה
multiple,מרובות
murder,רֶצַח
muscle,שְׁרִיר
museum,מוּזֵיאוֹן
music,מוּסִיקָה
musical,מוּסִיקָלִי
musician,מוּסִיקָאִי
Muslim,מוסלמי
must,צריך
mutual,הֲדָדִי
my,שֶׁלִי
myself,עצמי
mystery,מִסתוֹרִין
myth,מִיתוֹס
naked,עֵירוֹם
name,שֵׁם
narrative,נרטיב
narrow,לְצַמְצֵם
nation,אוּמָה
national,לאומי
native,יָלִיד
natural,טִבעִי
naturally,באופן טבעי
nature,טֶבַע
near,ליד
nearby,סָמוּך
nearly,כמעט
necessarily,בהכרח
necessary,נחוץ
neck,צוואר
need,צוֹרֶך
negative,שלילי
negotiate,לָשֵׂאת וְלָתֵת
negotiation,מַשָׂא וּמַתָן
neighbor,שָׁכֵן
neighborhood,שְׁכוּנָה
neither,לא זה ולא זה
nerve,עָצָב
nervous,עַצבָּנִי
net,נֶטוֹ
network,רֶשֶׁת
never,לעולם לא
nevertheless,על כל פנים
new,חָדָשׁ
newly,חדש
news,חֲדָשׁוֹת
newspaper,עיתון
next,הַבָּא
nice,נֶחְמָד
night,לַיְלָה
nine,תֵשַׁע
no,לא
nobody,אף אחד
nod,מָנוֹד רֹאשׁ
noise,רַעַשׁ
nomination,הְתמַנוּת
none,אף אחד
nonetheless,בְּכָל זֹאת
nor,ולא
normal,נוֹרמָלִי
normally,בדרך כלל
north,צָפוֹן
northern,צְפוֹנִי
nose,אף
not,לֹא
note,פתק
nothing,שום דבר
notice,הודעה
notion,רעיון
novel,רוֹמָן
now,עַכשָׁיו
nowhere,לְשׁוּם מָקוֹם
n't,לא
nuclear,גַרעִינִי
number,מספר
numerous,רַבִּים
nurse,אָחוֹת
nut,אגוז
object,לְהִתְנַגֵד
objective,מַטָרָה
obligation,חוֹבָה
observation,תַצְפִּית
observe,לצפות
observer,מַשׁקִיף
obtain,לְהַשִׂיג
obvious,מובן מאליו
obviously,מובן מאליו
occasion,הִזדַמְנוּת
occasionally,לִפְעָמִים
occupation,כיבוש
occupy,לִכבּוֹשׁ
occur,מתרחש
ocean,אוקיינוס
odd,מוזר
odds,קְטָטָה
of,שֶׁל
off,כבוי
offense,עבירה
offensive,הֶתקֵפִי
offer,הַצָעָה
office,מִשׂרָד
officer,קָצִין
official,רשמי
often,לעתים קרובות
oh,אה
oil,שמן
ok,בסדר
okay,בסדר
old,ישן
Olympic,אוֹלִימְפִּי
on,עַל
once,פַּעַם
one,אחד
ongoing,מתמשך
onion,בצל
online,באינטרנט
only,רק
onto,עַל גַבֵּי
open,לִפְתוֹחַ
opening,פְּתִיחָה
operate,לְהַפְעִיל
operating,הפעלה
operation,פעולה
operator,מַפעִיל
opinion,דעה
opponent,יָרִיב
opportunity,הִזדַמְנוּת
oppose,לְהִתְנַגֵד
opposite,מול
opposition,הִתנַגְדוּת
option,אוֹפְּצִיָה
or,אוֹ
orange,תפוז
order,להזמין
ordinary,רגיל
organic,אורגני
organization,אִרגוּן
organize,לְאַרגֵן
orientation,נטייה
origin,מָקוֹר
original,מְקוֹרִי
originally,בְּמָקוֹר
other,אַחֵר
others,אחרים
otherwise,אחרת
ought,צריך
our,שֶׁלָנוּ
ourselves,בְּעָצמֵנוּ
out,הַחוּצָה
outcome,תוֹצָאָה
outside,בחוץ
oven,תנור
over,על
overall,באופן כללי
overcome,לְהִתְגַבֵּר
overlook,לְהִתְעַלֵם
owe,חייב
own,שֶׁלוֹ
owner,בעלים
pace,לִפְסוֹעַ
pack,חבילה
package,חֲבִילָה
page,עמוד
pain,כְּאֵב
painful,כּוֹאֵב
paint,צֶבַע
painter,צייר
painting,צִיוּר
pair,זוג
pale,חיוור
Palestinian,פַּלֶשְׂתִינַאִי
palm,כַּף הַיָד
pan,מחבת
panel,לוּחַ
pant,להתנשף
paper,עיתון
parent,הוֹרֶה
park,פָּארק
parking,חֲנָיָה
part,חֵלֶק
participant,מִשׁתַתֵף
participate,לְהִשְׂתַתֵף
participation,הִשׁתַתְפוּת
particular,מיוחד
particularly,בִּמְיוּחָד
partly,חֶלקִית
partner,בת זוג
partnership,שׁוּתָפוּת
party,מפלגה
pass,לַעֲבוֹר
passage,מַעֲבָר
passenger,נוֹסֵעַ
passion,תשוקה
past,עבר
patch,תיקון
path,נָתִיב
patient,סבלני
pattern,תבנית
pause,הַפסָקָה
pay,לְשַׁלֵם
payment,תַשְׁלוּם
PC,מחשב
peace,שָׁלוֹם
peak,שִׂיא
peer,עמית
penalty,עוֹנֶשׁ
people,אֲנָשִׁים
pepper,פלפל
per,לְכָל
perceive,לִתְפּוֹס
percentage,אֲחוּזִים
perception,תפיסה
perfect,מושלם
perfectly,בצורה מושלמת
perform,לְבַצֵעַ
performance,ביצועים
perhaps,אוּלַי
period,פרק זמן
permanent,קבוע
permission,רְשׁוּת
permit,לְהַתִיר
person,אדם
personal,אישי
personality,אִישִׁיוּת
personally,באופן אישי
personnel,כוח אדם
perspective,נקודת מבט
persuade,לְשַׁכְנֵעַ
pet,חיית מחמד
phase,שלב
phenomenon,תופעה
philosophy,פִילוֹסוֹפִיָה
phone,מכשיר טלפון
photo,תמונה
photograph,תַצלוּם
photographer,צַלָם
phrase,מִשׁפָּט
physical,גוּפָנִי
physically,פיזית
physician,רוֹפֵא
piano,פְּסַנְתֵר
pick,לִבחוֹר
picture,תְמוּנָה
pie,פַּאִי
piece,לְחַבֵּר
pile,עֲרֵמָה
pilot,טַיָס
pine,אורן
pink,וָרוֹד
pipe,צינור
pitch,גובה הצליל
place,מקום
plan,לְתַכְנֵן
plane,מָטוֹס
planet,כוכב לכת
planning,תִכנוּן
plant,צמח
plastic,פלסטי
plate,צַלַחַת
platform,פּלַטפוֹרמָה
play,לְשַׂחֵק
player,שחקן
please,אנא
pleasure,הנאה
plenty,שפע
plot,עלילה
plus,ועוד
PM,אחר הצהריים
pocket,כִּיס
poem,שִׁיר
poet,מְשׁוֹרֵר
poetry,שִׁירָה
point,נְקוּדָה
pole,מוֹט
police,מִשׁטָרָה
policy,מְדִינִיוּת
political,פּוֹלִיטִי
politically,פוליטית
politician,פּוֹלִיטִיקָאִי
politics,פּוֹלִיטִיקָה
poll,מִשׁאָל
pollution,זיהום
pool,בריכה
poor,עני
pop,פּוֹפּ
popular,פופולרי
population,אוּכְלוֹסִיָה
porch,מִרפֶּסֶת
port,נמל
portion,חֵלֶק
portrait,דְיוֹקָן
portray,לתאר
pose,פּוֹזָה
position,עמדה
positive,חִיוּבִי
possess,לְהַחזִיק
possibility,אפשרות
possible,אפשרי
possibly,יִתָכֵן
post,הודעה
pot,סיר
potato,תפוח אדמה
potential,פוטנציאל
potentially,פוטנציאל
pound,לִירָה
pour,לִשְׁפּוֹך
poverty,עוני
powder,אֲבָקָה
power,כּוֹחַ
powerful,חָזָק
practical,מַעֲשִׂי
practice,תרגול
pray,לְהִתְפַּלֵל
prayer,תְפִלָה
precisely,בְּדִיוּק
predict,לנבא
prefer,לְהַעֲדִיף
preference,הַעֲדָפָה
pregnancy,הֵרָיוֹן
pregnant,בְּהֵרָיוֹן
preparation,הכנה
prepare,הכן
prescription,מִרשָׁם
presence,נוכחות
present,מתנה
presentation,הַצָגָה
preserve,לשמור
president,נָשִׂיא
presidential,נְשִׂיאוּתִי
press,ללחוץ
pressure,לַחַץ
pretend,להעמיד פנים
pretty,יפה
prevent,לִמְנוֹעַ
previous,קודם
previously,קוֹדֶם
price,מחיר
pride,גאווה
priest,כּוֹמֶר
primarily,בְּרֹאשׁ וּבְרִאשׁוֹנָה
primary,יְסוֹדִי
prime,רִאשׁוֹנִי
principal,קֶרֶן
principle,עִקָרוֹן
print,הדפס
prior,קוֹדֵם
priority,עדיפות
prison,בית סוהר
prisoner,אָסִיר
privacy,פְּרָטִיוּת
private,פְּרָטִי
probably,כנראה
problem,בְּעָיָה
procedure,תהליך
proceed,להמשיך
process,תהליך
produce,ליצר
producer,יַצרָן
product,מוצר
production,הפקה
profession,מִקצוֹעַ
professional,מקצועי
professor,פּרוֹפֶסוֹר
profile,פּרוֹפִיל
profit,רווח
program,תכנית
progress,התקדמות
project,פּרוֹיֶקט
prominent,בולט
promise,הַבטָחָה
promote,לקדם
prompt,מיידי
proof,הוכחה
proper,תָקִין
properly,כמו שצריך
property,תכונה
proportion,פּרוֹפּוֹרצִיָה
proposal,הצעה
propose,להציע
proposed,מוּצָע
prosecutor,תוֹבֵעַ
prospect,פרוספקט
protect,לְהַגֵן
protection,הֲגָנָה
protein,חֶלְבּוֹן
protest,למחות
proud,גאה
prove,לְהוֹכִיחַ
provide,לְסַפֵּק
provider,ספק
province,מָחוֹז
provision,אַספָּקָה
psychological,פְּסִיכוֹלוֹגִי
psychologist,פְּסִיכוֹלוֹג
psychology,פְּסִיכוֹלוֹגִיָה
public,פּוּמְבֵּי
publication,פרסום
publicly,בְּפוּמבֵּי
publish,לְפַרְסֵם
publisher,מוֹצִיא לָאוֹר
pull,מְשׁוֹך
punishment,עֲנִישָׁה
purchase,לִרְכּוֹשׁ
pure,טָהוֹר
purpose,מַטָרָה
pursue,לרדוף
push,לִדחוֹף
put,לָשִׂים
qualify,להעפיל
quality,איכות
quarter,רובע
quarterback,קוורטרבק
question,שְׁאֵלָה
quick,מָהִיר
quickly,בִּמְהִירוּת
quiet,שֶׁקֶט
quietly,בְּשֶׁקֶט
quit,לְהַפְסִיק
quite,דַי
quote,ציטוט
race,גזע
racial,גִזעִי
radical,קיצוני
radio,רָדִיוֹ
rail,רכבת
rain,גֶשֶׁם
raise,הַעֲלָאָה
range,טווח
rank,דַרגָה
rapid,מָהִיר
rapidly,מַהֵר
rare,נָדִיר
rarely,לעתים רחוקות
rate,ציון
rather,אלא
rating,דֵרוּג
ratio,יַחַס
raw,גלם
reach,לְהַגִיעַ
react,לְהָגִיב
reaction,תְגוּבָה
read,לקרוא
reader,קוֹרֵא
reading,קריאה
ready,מוּכָן
real,אמיתי
reality,מְצִיאוּת
realize,לִהַבִין
really,בֶּאֱמֶת
reason,סיבה
reasonable,סביר
recall,לִזכּוֹר
receive,לְקַבֵּל
recent,לאחרונה
recently,לאחרונה
recipe,מתכון
recognition,הַכָּרָה
recognize,לזהות
recommend,לְהַמלִיץ
recommendation,המלצה
record,תקליט
recording,הקלטה
recover,לְהַחלִים
recovery,התאוששות
recruit,לגיס
red,אָדוֹם
reduce,לְהַפחִית
reduction,צִמצוּם
refer,מתייחס
reference,התייחסות
reflect,משקף
reflection,הִשׁתַקְפוּת
reform,רֵפוֹרמָה
refugee,פָּלִיט
refuse,מסרב
regard,לְהִתְיַחֵס
regarding,לגבי
regardless,ללא קשר
regime,מִשׁטָר
region,אזור
regional,אֵזוֹרִי
register,הירשם
regular,רגיל
regularly,באופן קבוע
regulate,לְהַסדִיר
regulation,תַקָנָה
reinforce,לחזק
reject,לִדחוֹת
relate,לְסַפֵּר
relation,יַחַס
relationship,מערכת יחסים
relative,קרוב משפחה
relatively,יחסית
relax,לְהִרָגַע
release,לְשַׁחְרֵר
relevant,רלוונטי
relief,הֲקָלָה
religion,דָת
religious,דָתִי
rely,לִסְמוֹך
remain,לְהִשָׁאֵר
remaining,נוֹתָר
remarkable,ראוי לציון
remember,זכור
remind,לְהַזכִּיר
remote,מְרוּחָק
remove,לְהַסִיר
repeat,חזור
repeatedly,שוב ושוב
replace,החלף
reply,תשובה
report,להגיש תלונה
reporter,כַתָב
represent,לְיַצֵג
representation,יִצוּג
representative,נציג
Republican,רֶפּוּבּלִיקָנִי
reputation,תדמית
request,בַּקָשָׁה
require,לִדרוֹשׁ
requirement,דְרִישָׁה
research,מחקר
researcher,חוֹקֵר
resemble,לִדמוֹת
reservation,הזמנה
resident,תוֹשָׁב
resist,לְהִתְנַגֵד
resistance,הִתנַגְדוּת
resolution,פתרון הבעיה
resolve,לִפְתוֹר
resort,אתר נופש
resource,מַשׁאָב
respect,הערכה
respond,לְהָגִיב
respondent,משיב
response,תְגוּבָה
responsibility,אַחֲרָיוּת
responsible,אחראי
rest,מנוחה
restaurant,מִסעָדָה
restore,לשחזר
restriction,הַגבָּלָה
result,תוֹצָאָה
retain,לִשְׁמוֹר
retire,לִפְרוֹשׁ
retirement,פרישה לגמלאות
return,לַחֲזוֹר
reveal,לְגַלוֹת
revenue,הַכנָסָה
review,סקירה
revolution,מַהְפֵּכָה
rhythm,קֶצֶב
rice,אורז
rich,עָשִׁיר
rid,לְשַׁחְרֵר
ride,נסיעה
rifle,רובה
right,ימין
ring,טַבַּעַת
rise,לעלות
risk,לְהִסְתָכֵּן
river,נהר
road,כְּבִישׁ
rock,סלע
role,תַפְקִיד
roll,גָלִיל
romantic,רוֹמַנטִי
roof,גג
room,חֶדֶר
root,שורש
rope,חֶבֶל
rose,ורד
rough,מְחוּספָּס
roughly,בְּעֵרֶך
round,עָגוֹל
route,מַסלוּל
routine,שגרה
row,שׁוּרָה
rub,לשפשף
rule,כְּלָל
run,לָרוּץ
running,רץ
rural,כַּפרִי
rush,לְמַהֵר
Russian,רוּסִי
sacred,קָדוֹשׁ
sad,עָצוּב
safe,בטוח
safety,בְּטִיחוּת
sake,סאקה
salad,סלט
salary,שכר
sale,מְכִירָה
sales,מכירות
salt,מלח
same,אותו
sample,לִטעוֹם
sanction,סַנקצִיָה
sand,חוֹל
satellite,לוויין
satisfaction,שביעות רצון
satisfy,לְסַפֵּק
sauce,רוטב
save,לשמור
saving,חִסָכוֹן
say,אמר
scale,סוּלָם
scandal,סקנדל
scared,מפוחד
scenario,תַרחִישׁ
scene,סְצֵינָה
schedule,לוח זמנים
scheme,תָכְנִית
scholar,מְלוּמָד
scholarship,מילגה
school,בית ספר
science,מַדָע
scientific,מַדָעִי
scientist,מַדְעָן
scope,תְחוּם
score,ציון
scream,לִצְרוֹחַ
screen,מָסָך
script,תַסרִיט
sea,יָם
search,לחפש
season,עונה
seat,מושב
second,שְׁנִיָה
secret,סוֹד
secretary,מזכיר
section,סָעִיף
sector,מִגזָר
secure,לבטח
security,בִּטָחוֹן
see,לִרְאוֹת
seed,זֶרַע
seek,לְחַפֵּשׂ
seem,נראה
segment,מִגזָר
seize,לִתְפּוֹס
select,בחר
selection,בְּחִירָה
self,עצמי
sell,מכירה
Senate,סֵנָט
senator,סֵנָטוֹר
send,לִשְׁלוֹחַ
senior,בָּכִיר
sense,לָחוּשׁ
sensitive,רָגִישׁ
sentence,משפט
separate,נפרד
sequence,סדר פעולות
series,סִדרָה
serious,רְצִינִי
seriously,ברצינות
serve,לְשָׁרֵת
service,שֵׁרוּת
session,מוֹשָׁב
set,מַעֲרֶכֶת
setting,הגדרה
settle,לִשְׁקוֹעַ
settlement,הֶסדֵר
seven,שבע
several,כַּמָה
severe,חָמוּר
sex,מִין
sexual,מִינִי
shade,צֵל
shadow,צֵל
shake,לְנַעֵר
shall,יהיה
shape,צוּרָה
share,לַחֲלוֹק
sharp,חַד
she,היא
sheet,דַף
shelf,מַדָף
shell,צדף
shelter,מקלט
shift,מִשׁמֶרֶת
shine,זוהר
ship,ספינה
shirt,חוּלצָה
shit,לְחַרְבֵּן
shock,הֶלֶם
shoe,נַעַל
shoot,לירות
shooting,צילומים
shop,לִקְנוֹת
shopping,קניות
shore,חוף
short,קצר
shortly,בְּקָרוּב
shot,בְּעִיטָה
should,צריך
shoulder,כָּתֵף
shout,צעקה
show,הופעה
shower,מִקלַחַת
shrug,למשוך בכתף
shut,לִסְגוֹר
sick,חוֹלֶה
side,צַד
sigh,אֲנָחָה
sight,מראה
sign,סִימָן
signal,אוֹת
significance,מַשְׁמָעוּת
significant,משמעותי
significantly,באופן ניכר
silence,שתיקה
silent,שקט
silver,כסף
similar,דוֹמֶה
similarly,בדומה לכך
simple,פָּשׁוּט
simply,בפשטות
sin,חטא
since,מאז
sing,לָשִׁיר
singer,זמר
single,יחיד
sink,כִּיוֹר
sir,אֲדוֹנִי
sister,אָחוֹת
sit,לָשֶׁבֶת
site,אֲתַר
situation,מַצָב
six,שֵׁשׁ
size,גודל
ski,סקִי
skill,מְיוּמָנוּת
skin,עור
sky,שָׁמַיִם
slave,עֶבֶד
sleep,לִישׁוֹן
slice,פרוסה
slide,שקופית
slight,קָלוּשׁ
slightly,מְעַט
slip,פליטת פה
slow,לְהַאֵט
slowly,לאט
small,קָטָן
smart,לִכאוֹב
smell,רֵיחַ
smile,חיוך
smoke,עָשָׁן
smooth,חלק
snap,לְצַלֵם
snow,שֶׁלֶג
so,כך
so-called,מה שנקרא
soccer,כדורגל
social,חֶברָתִי
society,חֶברָה
soft,רַך
software,תוֹכנָה
soil,קרקע
solar,סוֹלָרִי
soldier,לוֹחֶם
solid,מוצק
solution,פִּתָרוֹן
solve,לִפְתוֹר
some,כמה
somebody,מִישֶׁהוּ
somehow,איכשהו
someone,מִישֶׁהוּ
something,משהו
sometimes,לִפְעָמִים
somewhat,במידה מסוימת
somewhere,אי שם
son,בֵּן
song,שִׁיר
soon,בקרוב
sophisticated,מתוחכם
sorry,מצטער
sort,סוג
soul,נֶפֶשׁ
sound,נשמע
soup,מרק
source,מָקוֹר
south,דָרוֹם
southern,דְרוֹמִי
Soviet,סובייטי
space,מֶרחָב
Spanish,ספרדית
speak,לְדַבֵּר
speaker,רַמקוֹל
special,מיוחד
specialist,מוּמחֶה
species,מִין
specific,ספֵּצִיפִי
specifically,באופן ספציפי
speech,נְאוּם
speed,מְהִירוּת
spend,לְבַלוֹת
spending,הוצאות
spin,סיבוב
spirit,רוּחַ
spiritual,רוחני
split,לְפַצֵל
spokesman,דוֹבֵר
sport,ספּוֹרט
spot,לְזַהוֹת
spread,התפשטות
spring,אביב
square,כיכר
squeeze,למחוץ
stability,יַצִיבוּת
stable,יַצִיב
staff,צוות
stage,שלב
stair,מדרגה
stake,לְהַמֵר
stand,לַעֲמוֹד
standard,תֶקֶן
standing,עוֹמֵד
star,כוכב
stare,לבהות
start,הַתחָלָה
state,מדינה
statement,הַצהָרָה
station,תַחֲנָה
statistics,סטָטִיסטִיקָה
status,סטָטוּס
stay,שָׁהוּת
steady,יַצִיב
steal,לִגנוֹב
steel,פְּלָדָה
step,שלב
stick,מקל
still,עוֹד
stir,לְרַגֵשׁ
stock,המניה
stomach,בֶּטֶן
stone,אֶבֶן
stop,תפסיק
storage,אִחסוּן
store,חנות
storm,סערה
story,כַּתָבָה
straight,יָשָׁר
strange,מוּזָר
stranger,זָר
strategic,אסטרטגי
strategy,אִסטרָטֶגִיָה
stream,זרם
street,רְחוֹב
strength,כוח
strengthen,לְחַזֵק
stress,לחץ
