,english,hebrew
1058,find,למצוא
1059,finding,מִמצָא
1060,fine,בסדר גמור
1061,finger,אֶצבַּע
1062,finish,סיים
1063,fire,אֵשׁ
1064,firm,מוּצָק
1065,first,ראשון
1066,fish,דג
1067,fishing,דיג
1068,fit,לְהַתְאִים
1069,fitness,כושר
1070,five,חָמֵשׁ
1071,fix,לתקן
1072,flag,דֶגֶל
1073,flame,לֶהָבָה
1074,flat,שָׁטוּחַ
1075,flavor,טעם
1076,flee,לברוח
1077,flesh,בשר
1078,flight,טִיסָה
1079,float,לָצוּף
1080,floor,קוֹמָה
1081,flow,זְרִימָה
1082,flower,פֶּרַח
1083,fly,"לטוס, זבוב"
1084,focus,מוֹקֵד
1085,folk,אֲנָשִׁים
1086,follow,לעקוב אחר
1087,following,הבא
1088,food,מזון
1089,foot,כף רגל
1090,football,כדורגל
1091,for,ל
1092,force,כּוֹחַ
1093,foreign,זָר
1094,forest,יַעַר
1095,forever,לָנֶצַח
1096,forget,לשכוח
1097,form,טופס
1098,formal,רִשְׁמִי
1099,formation,היווצרות
1100,former,לְשֶׁעָבַר
1101,formula,נוּסחָה
1102,forth,הָלְאָה
1103,fortune,הון עתק
1104,forward,קָדִימָה
1105,found,מצאתי
1106,foundation,קרן
1107,founder,מייסד
1108,four,ארבע
1109,fourth,רביעי
1110,frame,מִסגֶרֶת
1111,framework,מִסגֶרֶת
1112,free,חינם
1113,freedom,חוֹפֶשׁ
1114,freeze,הַקפָּאָה
1115,French,צָרְפָתִית
1116,frequency,תדירות
1117,frequent,תָכוּף
1118,frequently,בתדירות גבוהה
1119,fresh,טָרִי
1120,friend,חבר
1121,friendly,יְדִידוּתִי
1122,friendship,חֲבֵרוּת
1123,from,מ
1124,front,חֲזִית
1125,fruit,פרי
1126,frustration,תסכול
1127,fuel,דלק
1128,full,מלא
1129,fully,לְגַמרֵי
1130,fun,כֵּיף
1131,function,פוּנקצִיָה
1132,fund,קֶרֶן
1133,fundamental,בסיסי
1134,funding,מימון
1135,funeral,הַלוָיָה
1136,funny,מצחיק
1137,furniture,רְהִיטִים
1138,furthermore,יתר על כן
1139,future,עתיד
1140,gain,לְהַשִׂיג
1141,galaxy,גָלַקסִיָה
1142,gallery,גלריה
1143,game,מִשְׂחָק
1144,gang,כְּנוּפִיָה
1145,gap,פער
1146,garage,מוּסָך
1147,garden,גן
1148,garlic,שום
1149,gas,גַז
1150,gate,שַׁעַר
1151,gather,לאסוף
1152,gay,הומו
1153,gaze,מַבָּט
1154,gear,גלגל שיניים
1155,gender,מִין
1156,gene,גֵן
1157,general,כללי
1158,generally,בדרך כלל
1159,generate,לִיצוֹר
1160,generation,דוֹר
1161,genetic,גֵנֵטִי
1162,gentleman,ג'ֶנטֶלמֶן
1163,gently,בעדינות
1164,German,גֶרמָנִיָת
1165,gesture,מחווה
1166,get,לקבל
1167,ghost,רוּחַ
1168,giant,עֲנָק
1169,gift,מתנה
1170,gifted,מוּכשָׁר
1171,girl,ילדה
1172,girlfriend,חֲבֵרָה
1173,give,לָתֵת
1174,given,נָתוּן
1175,glad,שַׂמֵחַ
1176,glance,מַבָּט
1177,glass,זכוכית
1178,global,גלוֹבָּלִי
1179,glove,כְּפָפָה
1180,go,ללכת
1181,goal,מטרה
1182,God,אלוהים
1183,gold,זהב
1184,golden,זָהוּב
1185,golf,גוֹלף
1186,good,טוֹב
1187,government,מֶמְשָׁלָה
1188,governor,מוֹשֵׁל
1189,grab,לִתְפּוֹס
1190,grade,כיתה
1191,gradually,באופן הדרגתי
1192,graduate,בוגר
1193,grain,תְבוּאָה
1194,grand,גָדוֹל
1195,grandfather,סָבָּא
1196,grandmother,סַבתָא
1197,grant,מענק
1198,grass,דֶשֶׁא
1199,grave,קבר
1200,gray,אפור
1201,great,גדול
1202,greatest,הגדול ביותר
1203,green,ירוק
1204,grocery,מַכּוֹלֶת
1205,ground,"קרקע, אדמה"
1206,group,קְבוּצָה
1207,grow,לגדול
1208,growing,גָדֵל
1209,growth,צְמִיחָה
1210,guarantee,להבטיח
1211,guard,שומר
1212,guess,לְנַחֵשׁ
1213,guest,אוֹרֵחַ
1214,guide,להנחות
1215,guideline,קַו מַנחֶה
1216,guilty,אָשֵׁם
1217,gun,אֶקְדָח
1218,guy,בָּחוּר
1219,habit,הֶרגֵל
1220,habitat,בית גידול
1221,hair,שיער
1222,half,חֲצִי
1223,hall,אולם
1224,hand,יד
1225,handful,קוֹמֶץ
1226,handle,ידית
1227,hang,לִתְלוֹת
1228,happen,לִקְרוֹת
1229,happy,שַׂמֵחַ
1230,hard,קָשֶׁה
1231,hardly,בְּקוֹשִׁי
1232,hat,כּוֹבַע
1233,hate,שִׂנאָה
1234,have,יש
1235,he,הוא
1236,head,רֹאשׁ
1237,headline,כּוֹתֶרֶת
1238,headquarters,מַטֶה
1239,health,בְּרִיאוּת
1240,healthy,בָּרִיא
1241,hear,לִשְׁמוֹעַ
1242,hearing,שמיעה
1243,heart,לֵב
1244,heat,חוֹם
1245,heaven,גן העדן
1246,heavily,בִּכְבֵדוּת
1247,heavy,כָּבֵד
1248,heel,עָקֵב
1249,height,גוֹבַה
1250,helicopter,מַסוֹק
1251,hell,גֵיהִנוֹם
1252,hello,שלום
1253,help,עֶזרָה
1254,helpful,מוֹעִיל
1255,her,שֶׁלָה
1256,here,פה
1257,heritage,מוֹרֶשֶׁת
1258,hero,גיבור
1259,herself,עַצמָה
1260,hey,היי
1261,hi,היי
1262,hide,להתחבא
1263,high,גָבוֹהַ
1264,highlight,שִׂיא
1265,highly,מְאוֹד
1266,highway,כביש מהיר
1267,hill,גִבעָה
1268,him,אוֹתוֹ
1269,himself,עַצמוֹ
1270,hip,ירך
1271,hire,לִשְׂכּוֹר
1272,his,שֶׁלוֹ
1273,historian,הִיסטוֹרִיוֹן
1274,historic,הִיסטוֹרִי
1275,historical,הִיסטוֹרִי
1276,history,הִיסטוֹרִיָה
1277,hit,מכה
1278,hold,לְהַחזִיק
1279,hole,חור
1280,holiday,חַג
1281,holy,קָדוֹשׁ
1282,home,בית
1283,homeless,חֲסַר בַּיִת
1284,honest,יָשָׁר
1285,honey,דבש
1286,honor,כָּבוֹד
1287,hope,לְקַווֹת
1288,horizon,אופק
1289,horror,חֲרָדָה
1290,horse,סוּס
1291,hospital,בית חולים
1292,host,מנחה
1293,hot,חַם
1294,hotel,מלון
1295,hour,שָׁעָה
1296,house,בַּיִת
1297,household,בית
1298,housing,דיור
1299,how,אֵיך
1300,however,למרות זאת
1301,huge,עָצוּם
1302,human,בן אנוש
1303,humor,הוּמוֹר
1304,hundred,מֵאָה
1305,hungry,רעב
1306,hunter,צַיָד
1307,hunting,ציד
1308,hurt,כאב
1309,husband,בַּעַל
1310,hypothesis,הַשׁעָרָה
1311,I,אני
1312,ice,קרח
1313,idea,רַעְיוֹן
1314,ideal,אִידֵאָלִי
1315,identification,זיהוי
1316,identify,לזהות
1317,identity,זהות
1318,ie,כְּלוֹמַר
1319,if,אם
1320,ignore,להתעלם
1321,ill,חולה
1322,illegal,בִּלתִי חוּקִי
1323,illness,מחלה
1324,illustrate,להמחיש
1325,image,תמונה
1326,imagination,דִמיוֹן
1327,imagine,לדמיין
1328,immediate,מִיָדִי
1329,immediately,מיד
1330,immigrant,מְהַגֵר
1331,immigration,עלייה
1332,impact,פְּגִיעָה
1333,implement,ליישם
1334,implication,מַשְׁמָעוּת
1335,imply,לִרְמוֹז
1336,importance,חֲשִׁיבוּת
1337,important,חָשׁוּב
1338,impose,לֶאֱכוֹף
1339,impossible,בלתי אפשרי
1340,impress,לְהַרְשִׁים
1341,impression,רוֹשֶׁם
1342,impressive,מרשימים
1343,improve,לְשַׁפֵּר
1344,improvement,הַשׁבָּחָה
1345,in,ב
1346,incentive,תַמרִיץ
1347,incident,תַקרִית
1348,include,לִכלוֹל
1349,including,לְרַבּוֹת
1350,income,הַכנָסָה
1351,incorporate,"בע""מ"
1352,increase,להגביר
1353,increased,מוּגדָל
1354,increasing,גָדֵל
1355,increasingly,יותר ויותר
1356,incredible,מדהים
1357,indeed,אכן
1358,independence,עצמאות
1359,independent,עצמאי
1360,index,אינדקס
1361,Indian,הוֹדִי
1362,indicate,מצביע
1363,indication,סִימָן
1364,individual,אִישִׁי
1365,industrial,תַעֲשִׂיָתִי
1366,industry,תַעֲשִׂיָה
1367,infant,תִינוֹק
1368,infection,הַדבָּקָה
1369,inflation,אִינפלַצִיָה
1370,influence,לְהַשְׁפִּיעַ
1371,inform,לדווח
1372,information,מֵידָע
1373,ingredient,מַרכִּיב
1374,initial,התחלתי
1375,initially,בהתחלה
1376,initiative,יוזמה
1377,injury,פציעה
1378,inner,פְּנִימִי
1379,innocent,תמים
1380,inquiry,חֲקִירָה
1381,inside,בְּתוֹך
1382,insight,תוֹבָנָה
1383,insist,מתעקש
1384,inspire,השראה
1385,install,להתקין
1386,instance,למשל
1387,instead,במקום זאת
1388,institution,מוֹסָד
1389,institutional,מוסדי
1390,instruction,הוראה
1391,instructor,מַדְרִיך
1392,instrument,כלי
1393,insurance,ביטוח
1394,intellectual,אִינטֶלֶקְטוּאַלִי
1395,intelligence,אינטליגנציה
1396,intend,כוונה
1397,intense,אִינטֶנסִיבִי
1398,intensity,עָצמָה
1399,intention,מַטָרָה
1400,interaction,אינטראקציה
1401,interest,ריבית
1402,interested,מעוניין
1403,interesting,מעניין
1404,internal,פְּנִימִי
1405,international,בינלאומי
1406,Internet,מרשתת
1407,interpret,לפרש
1408,interpretation,פרשנות
1409,intervention,התערבות
1410,interview,רֵאָיוֹן
1411,into,לְתוֹך
1412,introduce,הצג
1413,introduction,מבוא
1414,invasion,פְּלִישָׁה
1415,invest,להשקיע
1416,investigate,לַחקוֹר
1417,investigation,חֲקִירָה
1418,investigator,חוֹקֵר
1419,investment,הַשׁקָעָה
1420,investor,משקיע
1421,invite,להזמין
1422,involve,כרוך
1423,involved,מְעוּרָב
1424,involvement,מְעוֹרָבוּת
1425,Iraqi,עִירַאקִי
1426,Irish,אִירִית
1427,iron,בַּרזֶל
1428,Islamic,אסלאמי
1429,island,אִי
1430,Israeli,יִשׂרְאֵלִי
1431,issue,נושא
1432,it,זה
1433,Italian,אִיטַלְקִית
1434,item,פריט
1435,its,שֶׁלָה
1436,itself,עצמו
1437,jacket,ז'ָקֵט
1438,jail,כלא
1439,Japanese,יַפָּנִית
1440,jet,מטוס סילון
1441,Jew,יְהוּדִי
1442,Jewish,יהודי
1443,job,עבודה
1444,join,לְהִצְטַרֵף
1445,joint,משותף
1446,joke,בדיחה
1447,journal,כתב עת
1448,journalist,עִתוֹנָאִי
1449,journey,מסע
1450,joy,שִׂמְחָה
1451,judge,לִשְׁפּוֹט
1452,judgment,פְּסַק דִין
1453,juice,מיץ
1454,jump,קְפִיצָה
1455,junior,זוּטָר
1456,jury,חֶבֶר מוּשׁבַּעִים
1457,just,רַק
1458,justice,צֶדֶק
1459,justify,לְהַצְדִיק
1460,keep,לִשְׁמוֹר
1461,key,מַפְתֵחַ
1462,kick,בְּעִיטָה
1463,kid,יֶלֶד
1464,kill,לַהֲרוֹג
1465,killer,רוֹצֵחַ
1466,killing,הֶרֶג
1467,kind,סוג
1468,king,מלך
1469,kiss,נְשִׁיקָה
1470,kitchen,מִטְבָּח
1471,knee,הברך
1472,knife,סַכִּין
1473,knock,נְקִישָׁה
1474,know,לָדַעַת
1475,knowledge,יֶדַע
1476,lab,מַעבָּדָה
1477,label,תווית
1478,labor,עבודה
1479,laboratory,מַעבָּדָה
1480,lack,חוֹסֶר
1481,lady,גברת
1482,lake,אֲגַם
1483,land,ארץ
1484,landscape,נוֹף
1485,language,שפה
1486,lap,הקפה
1487,large,גָדוֹל
1488,largely,בעיקר
1489,last,אחרון
1490,late,מאוחר
1491,later,מאוחר יותר
1492,Latin,לָטִינִית
1493,latter,אַחֲרוֹן
1494,laugh,לִצְחוֹק
1495,launch,לְהַשִׁיק
1496,law,חוֹק
1497,lawn,דֶשֶׁא
1498,lawsuit,תביעה משפטית
1499,lawyer,עורך דין
1500,lay,לְהַנִיחַ
1501,layer,שִׁכבָה
1502,lead,עוֹפֶרֶת
1503,leader,מַנהִיג
1504,leadership,מַנהִיגוּת
1505,leading,מוֹבִיל
1506,leaf,עלה
1507,league,לִיגָה
1508,lean,רָזֶה
1509,learn,לִלמוֹד
1510,learning,לְמִידָה
1511,least,הכי פחות
1512,leather,עוֹר
1513,leave,לעזוב
1514,left,שמאלה
1515,leg,רגל
1516,legacy,מוֹרֶשֶׁת
1517,legal,משפטי
1518,legend,אגדה
1519,legislation,חֲקִיקָה
1520,legitimate,לֵגִיטִימִי
1521,lemon,לימון
1522,length,אורך
1523,less,פָּחוּת
1524,lesson,שיעור
1525,let,תן
1526,letter,מִכְתָב
1527,level,רָמָה
1528,liberal,לִיבֵּרָלִי
1529,library,סִפְרִיָה
1530,license,רישיון
1531,lie,שקר
1532,life,חַיִים
1533,lifestyle,סגנון חיים
1534,lifetime,לכל החיים
1535,lift,מעלית
1536,light,אוֹר
1537,like,כמו
1538,likely,סָבִיר
1539,limit,לְהַגבִּיל
1540,limitation,הַגבָּלָה
1541,limited,מוגבל
1542,line,קַו
1543,link,קישור
1544,lip,שָׂפָה
1545,list,רשימה
1546,listen,להקשיב
1547,literally,פשוטו כמשמעו
1548,literary,סִפְרוּתִי
1549,literature,סִפְרוּת
1550,little,קטן
1551,live,לחיות
1552,living,חַי
1553,load,לִטעוֹן
1554,loan,לְהַלווֹת
1555,local,מְקוֹמִי
1556,locate,לְאַתֵר
1557,location,מקום
1558,lock,לנעול
1559,long,ארוך
1560,long-term,טווח ארוך
1561,look,תראה
1562,loose,מְשׁוּחרָר
1563,lose,לאבד
1564,loss,הֶפסֵד
1565,lost,אָבֵד
1566,lot,מִגרָשׁ
1567,lots,הרבה
1568,loud,בְּקוֹל רָם
1569,love,אהבה
1570,lovely,חביב
1571,lover,מְאַהֵב
1572,low,נָמוּך
1573,lower,נמוך יותר
1574,luck,מַזָל
1575,lucky,בַּר מַזָל
1576,lunch,ארוחת צהריים
1577,lung,ריאה
1578,machine,מְכוֹנָה
1579,mad,מְטוּרָף
1580,magazine,מגזין
1581,mail,דוֹאַר
1582,main,רָאשִׁי
1583,mainly,בעיקר
1584,maintain,לְתַחְזֵק
1585,maintenance,תחזוקה
1586,major,גדול
1587,majority,רוֹב
1588,make,עשה
1589,maker,יַצרָן
1590,makeup,תפצה
1591,male,זָכָר
1592,mall,קֶנִיוֹן
1593,man,איש
1594,manage,לנהל
1595,management,הַנהָלָה
1596,manager,מנהל
1597,manner,דֶרֶך
1598,manufacturer,יַצרָן
1599,manufacturing,ייצור
1600,many,רב
1601,map,מַפָּה
1602,margin,שולים
1603,mark,סימן
1604,market,שׁוּק
1605,marketing,שיווק
1606,marriage,נישואים
1607,married,נָשׂוּי
1608,marry,לְהִתְחַתֵן
1609,mask,מסכה
1610,mass,מסה
1611,massive,מַסִיבִי
1612,master,לִשְׁלוֹט
1613,match,התאמה
1614,material,חוֹמֶר
1615,math,מתמטיקה
1616,matter,חוֹמֶר
1617,may,מאי
1618,maybe,אולי
1619,mayor,ראש העיר
1620,me,לִי
1621,meal,ארוחה
1622,mean,מתכוון
1623,meaning,מַשְׁמָעוּת
1624,meanwhile,בינתיים
1625,measure,מידה
1626,measurement,מדידה
1627,meat,בָּשָׂר
1628,mechanism,מַנגָנוֹן
1629,media,כְּלֵי תִקְשׁוֹרֶת
1630,medical,רְפוּאִי
1631,medication,תרופות
1632,medicine,תרופה
1633,medium,בינוני
1634,meet,לִפְגוֹשׁ
1635,meeting,פְּגִישָׁה
1636,member,חבר
1637,membership,חֲבֵרוּת
1638,memory,זיכרון
1639,mental,נַפשִׁי
1640,mention,אִזְכּוּר
1641,menu,תַפרִיט
1642,mere,סְתָם
1643,merely,רק
1644,mess,אי סדר
1645,message,הוֹדָעָה
1646,metal,מַתֶכֶת
1647,meter,מטר
1648,method,שיטה
1649,Mexican,מֶקסִיקָני
1650,middle,אֶמצַע
1651,might,אולי
1652,military,צבאי
1653,milk,חלב
1654,million,מִילִיוֹן
1655,mind,אכפת
1656,mine,שלי
1657,minister,שר בממשלה
1658,minor,קַטִין
1659,minority,מיעוט
1660,minute,דַקָה
1661,miracle,נֵס
1662,mirror,מַרְאָה
1663,miss,עלמה
1664,missile,טִיל
1665,mission,משימה
1666,mistake,טעות
1667,mix,לְעַרְבֵּב
1668,mixture,תַעֲרוֹבֶת
1669,mm-hmm,"מ""מ-ממץ"
1670,mode,מצב
1671,model,דֶגֶם
1672,moderate,לְמַתֵן
1673,modern,מוֹדֶרנִי
1674,modest,צָנוּעַ
1675,mom,אִמָא
1676,moment,רֶגַע
1677,money,כֶּסֶף
1678,monitor,צג
1679,month,חוֹדֶשׁ
1680,mood,מַצַב רוּחַ
1681,moon,ירח
1682,moral,מוסר השכל
1683,more,יותר
1684,moreover,יתר על כך
1685,morning,בוקר
1686,mortgage,משכנתא
1687,most,רוב
1688,mostly,בעיקר
1689,mother,אִמָא
1690,motion,תְנוּעָה
1691,motivation,מוֹטִיבָצִיָה
1692,motor,מָנוֹעַ
1693,mount,הר
1694,mountain,הַר
1695,mouse,עכבר
1696,mouth,פֶּה
1697,move,מהלך \ לזוז \ לעבור
1698,movement,תְנוּעָה
1699,movie,סרט
1700,Mr,אדון
1701,Mrs,גברת
1702,Ms,גברת
1703,much,הַרבֵּה
1704,multiple,מרובות
1705,murder,רֶצַח
1706,muscle,שְׁרִיר
1707,museum,מוּזֵיאוֹן
1708,music,מוּסִיקָה
1709,musical,מוּסִיקָלִי
1710,musician,מוּסִיקָאִי
1711,Muslim,מוסלמי
1712,must,צריך
1713,mutual,הֲדָדִי
1714,my,שֶׁלִי
1715,myself,עצמי
1716,mystery,מִסתוֹרִין
1717,myth,מִיתוֹס
1718,naked,עֵירוֹם
1719,name,שֵׁם
1720,narrative,נרטיב
1721,narrow,לְצַמְצֵם
1722,nation,אוּמָה
1723,national,לאומי
1724,native,יָלִיד
1725,natural,טִבעִי
1726,naturally,באופן טבעי
1727,nature,טֶבַע
1728,near,ליד
1729,nearby,סָמוּך
1730,nearly,כמעט
1731,necessarily,בהכרח
1732,necessary,נחוץ
1733,neck,צוואר
1734,need,צוֹרֶך
1735,negative,שלילי
1736,negotiate,לָשֵׂאת וְלָתֵת
1737,negotiation,מַשָׂא וּמַתָן
1738,neighbor,שָׁכֵן
1739,neighborhood,שְׁכוּנָה
1740,neither,לא זה ולא זה
1741,nerve,עָצָב
1742,nervous,עַצבָּנִי
1743,net,נֶטוֹ
1744,network,רֶשֶׁת
1745,never,לעולם לא
1746,nevertheless,על כל פנים
1747,new,חָדָשׁ
1748,newly,חדש
1749,news,חֲדָשׁוֹת
1750,newspaper,עיתון
1751,next,הַבָּא
1752,nice,נֶחְמָד
1753,night,לַיְלָה
1754,nine,תֵשַׁע
1755,no,לא
1756,nobody,אף אחד
1757,nod,מָנוֹד רֹאשׁ
1758,noise,רַעַשׁ
1759,nomination,הְתמַנוּת
1760,none,אף אחד
1761,nonetheless,בְּכָל זֹאת
1762,nor,ולא
1763,normal,נוֹרמָלִי
1764,normally,בדרך כלל
1765,north,צָפוֹן
1766,northern,צְפוֹנִי
1767,nose,אף
1768,not,לֹא
1769,note,פתק
1770,nothing,שום דבר
1771,notice,הודעה
1772,notion,רעיון
1773,novel,רוֹמָן
1774,now,עַכשָׁיו
1775,nowhere,לְשׁוּם מָקוֹם
1776,n't,לא
1777,nuclear,גַרעִינִי
1778,number,מספר
1779,numerous,רַבִּים
1780,nurse,אָחוֹת
1781,nut,אגוז
1782,object,לְהִתְנַגֵד
1783,objective,מַטָרָה
1784,obligation,חוֹבָה
1785,observation,תַצְפִּית
1786,observe,לצפות
1787,observer,מַשׁקִיף
1788,obtain,לְהַשִׂיג
1789,obvious,מובן מאליו
1790,obviously,מובן מאליו
1791,occasion,הִזדַמְנוּת
1792,occasionally,לִפְעָמִים
1793,occupation,כיבוש
1794,occupy,לִכבּוֹשׁ
1795,occur,מתרחש
1796,ocean,אוקיינוס
1797,odd,מוזר
1798,odds,קְטָטָה
1799,of,שֶׁל
1800,off,כבוי
1801,offense,עבירה
1802,offensive,הֶתקֵפִי
1803,offer,הַצָעָה
1804,office,מִשׂרָד
1805,officer,קָצִין
1806,official,רשמי
1807,often,לעתים קרובות
1808,oh,אה
1809,oil,שמן
1810,ok,בסדר
1811,okay,בסדר
1812,old,ישן
1813,Olympic,אוֹלִימְפִּי
1814,on,עַל
1815,once,פַּעַם
1816,one,אחד
1817,ongoing,מתמשך
1818,onion,בצל
1819,online,באינטרנט
1820,only,רק
1821,onto,עַל גַבֵּי
1822,open,לִפְתוֹחַ
1823,opening,פְּתִיחָה
1824,operate,לְהַפְעִיל
1825,operating,הפעלה
1826,operation,פעולה
1827,operator,מַפעִיל
1828,opinion,דעה
1829,opponent,יָרִיב
1830,opportunity,הִזדַמְנוּת
1831,oppose,לְהִתְנַגֵד
1832,opposite,מול
1833,opposition,הִתנַגְדוּת
1834,option,אוֹפְּצִיָה
1835,or,אוֹ
1836,orange,תפוז
1837,order,להזמין
1838,ordinary,רגיל
1839,organic,אורגני
1840,organization,אִרגוּן
1841,organize,לְאַרגֵן
1842,orientation,נטייה
1843,origin,מָקוֹר
1844,original,מְקוֹרִי
1845,originally,בְּמָקוֹר
1846,other,אַחֵר
1847,others,אחרים
1848,otherwise,אחרת
1849,ought,צריך
1850,our,שֶׁלָנוּ
1851,ourselves,בְּעָצמֵנוּ
1852,out,הַחוּצָה
1853,outcome,תוֹצָאָה
1854,outside,בחוץ
1855,oven,תנור
1856,over,על
1857,overall,באופן כללי
1858,overcome,לְהִתְגַבֵּר
1859,overlook,לְהִתְעַלֵם
1860,owe,חייב
1861,own,שֶׁלוֹ
1862,owner,בעלים
1863,pace,לִפְסוֹעַ
1864,pack,חבילה
1865,package,חֲבִילָה
1866,page,עמוד
1867,pain,כְּאֵב
1868,painful,כּוֹאֵב
1869,paint,צֶבַע
1870,painter,צייר
1871,painting,צִיוּר
1872,pair,זוג
1873,pale,חיוור
1874,Palestinian,פַּלֶשְׂתִינַאִי
1875,palm,כַּף הַיָד
1876,pan,מחבת
1877,panel,לוּחַ
1878,pant,להתנשף
1879,paper,עיתון
1880,parent,הוֹרֶה
1881,park,פָּארק
1882,parking,חֲנָיָה
1883,part,חֵלֶק
1884,participant,מִשׁתַתֵף
1885,participate,לְהִשְׂתַתֵף
1886,participation,הִשׁתַתְפוּת
1887,particular,מיוחד
1888,particularly,בִּמְיוּחָד
1889,partly,חֶלקִית
1890,partner,בת זוג
1891,partnership,שׁוּתָפוּת
1892,party,מפלגה
1893,pass,לַעֲבוֹר
1894,passage,מַעֲבָר
1895,passenger,נוֹסֵעַ
1896,passion,תשוקה
1897,past,עבר
1898,patch,תיקון
1899,path,נָתִיב
1900,patient,סבלני
1901,pattern,תבנית
1902,pause,הַפסָקָה
1903,pay,לְשַׁלֵם
1904,payment,תַשְׁלוּם
1905,PC,מחשב
1906,peace,שָׁלוֹם
1907,peak,שִׂיא
1908,peer,עמית
1909,penalty,עוֹנֶשׁ
1910,people,אֲנָשִׁים
1911,pepper,פלפל
1912,per,לְכָל
1913,perceive,לִתְפּוֹס
1914,percentage,אֲחוּזִים
1915,perception,תפיסה
1916,perfect,מושלם
1917,perfectly,בצורה מושלמת
1918,perform,לְבַצֵעַ
1919,performance,ביצועים
1920,perhaps,אוּלַי
1921,period,פרק זמן
1922,permanent,קבוע
1923,permission,רְשׁוּת
1924,permit,לְהַתִיר
1925,person,אדם
1926,personal,אישי
1927,personality,אִישִׁיוּת
1928,personally,באופן אישי
1929,personnel,כוח אדם
1930,perspective,נקודת מבט
1931,persuade,לְשַׁכְנֵעַ
1932,pet,חיית מחמד
1933,phase,שלב
1934,phenomenon,תופעה
1935,philosophy,פִילוֹסוֹפִיָה
1936,phone,מכשיר טלפון
1937,photo,תמונה
1938,photograph,תַצלוּם
1939,photographer,צַלָם
1940,phrase,מִשׁפָּט
1941,physical,גוּפָנִי
1942,physically,פיזית
1943,physician,רוֹפֵא
1944,piano,פְּסַנְתֵר
1945,pick,לִבחוֹר
1946,picture,תְמוּנָה
1947,pie,פַּאִי
1948,piece,לְחַבֵּר
1949,pile,עֲרֵמָה
1950,pilot,טַיָס
1951,pine,אורן
1952,pink,וָרוֹד
1953,pipe,צינור
1954,pitch,גובה הצליל
1955,place,מקום
1956,plan,לְתַכְנֵן
1957,plane,מָטוֹס
1958,planet,כוכב לכת
1959,planning,תִכנוּן
1960,plant,צמח
1961,plastic,פלסטי
1962,plate,צַלַחַת
1963,platform,פּלַטפוֹרמָה
1964,play,לְשַׂחֵק
1965,player,שחקן
1966,please,אנא
1967,pleasure,הנאה
1968,plenty,שפע
1969,plot,עלילה
1970,plus,ועוד
1971,PM,אחר הצהריים
1972,pocket,כִּיס
1973,poem,שִׁיר
1974,poet,מְשׁוֹרֵר
1975,poetry,שִׁירָה
1976,point,נְקוּדָה
1977,pole,מוֹט
1978,police,מִשׁטָרָה
1979,policy,מְדִינִיוּת
1980,political,פּוֹלִיטִי
1981,politically,פוליטית
1982,politician,פּוֹלִיטִיקָאִי
1983,politics,פּוֹלִיטִיקָה
1984,poll,מִשׁאָל
1985,pollution,זיהום
1986,pool,בריכה
1987,poor,עני
1988,pop,פּוֹפּ
1989,popular,פופולרי
1990,population,אוּכְלוֹסִיָה
1991,porch,מִרפֶּסֶת
1992,port,נמל
1993,portion,חֵלֶק
1994,portrait,דְיוֹקָן
1995,portray,לתאר
1996,pose,פּוֹזָה
1997,position,עמדה
1998,positive,חִיוּבִי
1999,possess,לְהַחזִיק
2000,possibility,אפשרות
2001,possible,אפשרי
2002,possibly,יִתָכֵן
2003,post,הודעה
2004,pot,סיר
2005,potato,תפוח אדמה
2006,potential,פוטנציאל
2007,potentially,פוטנציאל
2008,pound,לִירָה
2009,pour,לִשְׁפּוֹך
2010,poverty,עוני
2011,powder,אֲבָקָה
2012,power,כּוֹחַ
2013,powerful,חָזָק
2014,practical,מַעֲשִׂי
2015,practice,תרגול
2016,pray,לְהִתְפַּלֵל
2017,prayer,תְפִלָה
2018,precisely,בְּדִיוּק
2019,predict,לנבא
2020,prefer,לְהַעֲדִיף
2021,preference,הַעֲדָפָה
2022,pregnancy,הֵרָיוֹן
2023,pregnant,בְּהֵרָיוֹן
2024,preparation,הכנה
2025,prepare,הכן
2026,prescription,מִרשָׁם
2027,presence,נוכחות
2028,present,מתנה
2029,presentation,הַצָגָה
2030,preserve,לשמור
2031,president,נָשִׂיא
2032,presidential,נְשִׂיאוּתִי
2033,press,ללחוץ
2034,pressure,לַחַץ
2035,pretend,להעמיד פנים
2036,pretty,יפה
2037,prevent,לִמְנוֹעַ
2038,previous,קודם
2039,previously,קוֹדֶם
2040,price,מחיר
2041,pride,גאווה
2042,priest,כּוֹמֶר
2043,primarily,בְּרֹאשׁ וּבְרִאשׁוֹנָה
2044,primary,יְסוֹדִי
2045,prime,רִאשׁוֹנִי
2046,principal,קֶרֶן
2047,principle,עִקָרוֹן
2048,print,הדפס
2049,prior,קוֹדֵם
2050,priority,עדיפות
2051,prison,בית סוהר
2052,prisoner,אָסִיר
2053,privacy,פְּרָטִיוּת
2054,private,פְּרָטִי
2055,probably,כנראה
2056,problem,בְּעָיָה
2057,procedure,תהליך
2058,proceed,להמשיך
2059,process,תהליך
2060,produce,ליצר
2061,producer,יַצרָן
2062,product,מוצר
2063,production,הפקה
2064,profession,מִקצוֹעַ
2065,professional,מקצועי
2066,professor,פּרוֹפֶסוֹר
2067,profile,פּרוֹפִיל
2068,profit,רווח
2069,program,תכנית
2070,progress,התקדמות
2071,project,פּרוֹיֶקט
2072,prominent,בולט
